26
20,60,10
45,90,20
50,135,20
15,115,15
25,35,20
45,100,20
15,45,15
15,120,15
20,45,15
30,210,15
30,60,30
35,50,15
35,20,10
25,270,30
55,330,20
30,200,15
15,75,15
25,75,15
15,35,15
40,35,5
50,95,15
50,65,10
45,80,20
15,35,15
20,110,20
25,100,20
35,150,20
45,140,30
45,195,10
15,35,25
10,50,15
15,30,5
35,250,15
20,140,15
30,100,15
40,275,25
30,215,20
45,395,30
25,185,30
35,290,20
20,275,25
25,240,25
15,75,10
30,55,15
30,225,25
35,335,15
30,190,15
20,55,10
30,135,15
15,610,20
30,295,10
30,220,10
35,40,10
45,225,15
30,275,30
15,75,15
15,50,15
15,75,15
35,165,10
30,220,20
30,240,25
20,335,10
50,280,25
25,125,15
