95
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
50,95,15
45,80,20
20,110,20
15,35,25
40,275,25
45,395,30
30,225,25
30,190,15
30,135,15
45,225,15
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
35,165,10
35,335,25
30,50,15
30,205,15
15,100,10
15,115,15
45,100,20
30,210,15
55,330,20
